CALLE, FECHA DE COMIENZO, HORARIO, FECHA  DE FINALIZACION
"rotonda de la minilla","23/09/2015","7:30/20 y 22;00/06:00",""
"la galera, galilea en la  suerte, risco negro, cuesta blancay el roman","23/09/2015","7:30/20 y 22;00/06:00",""
"pelayo frente 16 y venezuela frente 16","28/09/2015","24",""
"pio xii entre calle leopoldo matos e italia","24/09/2015","07;30/16:00","24/09/2015"
"paseo de san jose 28","24/09/2015","8/18",""
"palmital 7","28/09/2015","8/18","02/10/2015"
"constantino 3","26/09/2015","8/18","26/09/2015"
"termino municipal","23/09/2015","normal","23/09/2015"
"bernardo de la torre 57","23/09/2015","24",""
"avd. alcalde jose ramirez betencort, 18","25/09/2015","8-20","25/09/2015"
"joaquin blume 19","25/09/2015","8 a 19",""
"parroquia san agustin","26/09/2015","18.30 a 20.30","26/09/2015"
"la naval frente 129 carga y descarga","25/09/2015","11 a 20","25/09/2015"
"parque san telmo trasera ermita","26/09/2015","20.30 a 21.30","26/09/2015"
"alferez provisional esquina recidencial las terrazas, 1","28/09/2015","24",""
"alcalde francisco hernandez gonzalez, 6","28/09/2015","24","03/10/2015"
"termino municipal de las palmas","28/09/2015","normal",""
"qavd. De escalerritas( sentido bajada)  antes del cruce de paseo de chil","01/10/2015","8/18",""
"avda. jose mesa y lopez 27","01/10/2015","24",""
"diferentes de la ciudad","29/09/2015","08 a 20","29/09/2015"
"emilio zola 16","01/10/2015","11 a 15",""
"eusebio navarro 21","08/10/2015","08 a 18",""
"paseo de las canteras 75","01/10/2015","08 a 18",""
"avda. alcalde jose ramirez bethencourt 20","05/10/2015","08 a 18",""
"castrillo 35","30/09/2015","08 a 18",""
"albert einstein 30  y alfred nobel 21","05/10/2015","08 a 18","09/10/2015"
"diferentes calles de la ciudad","30/09/2015","08 a 18",""
"diego vega sarmiento 49","30/09/2015","22 a 06",""
"blasco Ibañez 21","02/10/2015","24 horas",""
"blasco ibañez 21","02/10/2015","","16/10/2015"
"la naval  118-120  carga y descarga","01/10/2015","08 a 18",""
"alceste 15","01/10/2015","08 a 20",""
"alonso jaimez de sotomayor 12","01/10/2015","08 a 18",""
"presidente alvear 31","03/10/2015","08 a 18",""
"juan sanchez de la coba","05/10/2015","08 a 18","09/10/2015"
"diferentes de la ciudad","01/10/2015","08 a 18",""
"tanausu entre anzofe y tecen por tramos","15/10/2015","08 a 19",""
"tanausu por tramos 33 al 37","29/10/2015","08 a 19",""
"lugar lomo cuesta blanca del 58 al 32","12/11/2015","08 a 19",""
"eduardo benitez gonzalez 2 al 10","08/10/2015","08 a 19",""
"plaza de san agustin","03/10/2015","",""
"alfred novel, 21","05/10/2015","8-20",""
"nicolas estevanez 62  zona de carga y descarga","06/10/2015","24",""
"avda. pintor felo monzon 45","02/10/2015","24","30/11/2015"
"san marcial 3","06/10/2015","08 a 18",""
"avda alcalde jose ramirez bethencourt, centro inslar de deportes","09/10/2015","08 a 20","09/10/2015"
"tormento con agustina de aragon 11","05/10/2015","08 a 18",""
"timagan 1 iglesia de san pedro","06/10/2015","08 a 12",""
"kant 7","05/10/2015","24",""
"diferentes de la ciudad","02/10/2015","08 a 18",""
"avenida de canarias con munguia","06/10/2015","08 a 18",""
"curva 25","06/10/2015","08 a 20",""
"coronel rocha 48","05/10/2015","08 a 20",""
"1º paseo de los martires 165/167/169  2º plaza de la cruz 1/3/5/","06/10/2015","24",""
"tecen entre benecharo y artemi semidan","19/10/2015","8/19","20/10/2015"
"paseo de las canteras 28","06/10/2015","8/18",""
"paseo de madrid","05/10/2015","7-15",""
"doctor chil 22","07/10/2015","8 a 18",""
"varias calles","05/10/2015","8-20",""
"lentini esq. Triana","05/10/2015","22-6,00",""
"cayetana manrique  13","17/10/2015","8-20",""
"coronel rocha 38","07/10/2015","24","10/10/2015"
"rosarito y lopez socas, 1 y 12","06/10/2015","",""
"ALFEREZ PROVISIONAL ENTRE  EL CAMPO DE FUTBOL Y SARGENTO PROVISIONAL","03/12/2015","8-19",""
"INGENIERO BOSCH Y SINTES  10","07/10/2015","8-18",""
"VCARIAS CALLES","06/10/2015","8-20",""
"LEON YCASTILLO 137 CON PAMOCHAMOSO","06/10/2015","8-20",""
"ALONSO JAIMEZ DE SOTOMAYOR ESQ. ORTIZ DE ZARATE","13/10/2015","8-20",""
"GARCIA MORATO  36","08/10/2015","8-20",""
"LEON Y CASTILLO, 142","07/10/2015","24",""
"LEON Y CASTILLO, 142","07/10/2015","8-20",""
"francisco gourie 20","07/10/2015","7/10/15","07/10/2015"
"jesus ferrer jimeno acceso ceip mesa y lopez","07/10/2015","7 a 15",""
"alvarez rixo (Club deportivo La Cornisa), s/n","09/10/2015","8-20",""
"bravo murillo, 4 esq. Colmenares, 9","09/10/2015","24",""
"paseo de chil 7","10/10/2015","8/18","10/10/2015"
"valencia con barcelona  63","13/10/2015","8-18",""
"pavia  35","13/10/2015","24",""
"JUAN SANCHEZ DE LA COBA TRASERA (ZARATE)","13/10/2015","NORMAL","20/10/2015"
"LENTINI ESQUINA TRIANA","13/10/2015","22 A 06","16/10/2015"
"LEOPOLDO MATOR EDIFICIO ICOT","13/10/2015","24 HRAS","22/10/2015"
"FATAGA 17","10/10/2015","8 A 19","10/10/2015"
"avd. pintor felo monzon, 35","13/10/2015","8-18",""
"avd. escaleritas, 71","09/10/2015","8-18",""
"malteses por tramos","13/10/2015","7,30 a 18","13/10/2015"
"general mas de gaminde entre nestor de la torre y manuel gzlez martin","13/10/2015","7,30 a 18",""
"mariucha107 al 111","14/10/2015","24 horas",""
"camino al polvorin 58","14/10/2015","24horas",""
"saucillo 39","14/10/2015","",""
"prolongacion manzanilla 3","13/10/2015","24 horas",""
"alto de los leones 30-32","13/10/2015","24 horas","15/10/2015"
"singra 14","13/10/2015","24 horas","15/10/2015"
"avd. jose mesa y lopez, 40","14/10/2015","8-205","14/10/2015"
"pedro de vera  esq. Con cebrian  25","15/10/2015","24",""
"varias calles","13/10/2015","8-20","13/10/2015"
"churruca  4","15/10/2015","/8-18","15/10/2015"
"churruca  4 trasera o viceversa","14/10/2015","24",""
"doctor juan dominguez perez  71","15/10/2015","8-18","15/10/2015"
"italia, 52","16/10/2015","8-20","16/10/2015"
"pedro infinito  n 114 parada de guaguas","16/10/2015","",""
"camion grua para sustitucion de camaras","15/10/2015","09 a 20",""
"viera y clavijo 20","28/10/2015","08 a 22","30/10/2015"
"paseo de las canteras 66","","08 a 12",""
"granadera canaria s/n","16/10/2015","08 a 20",""
"antonio de viana 24","15/10/2015","24",""
"rosarito entre lopez socas y mahon","16/10/2015","",""
"varias calles","14/10/2015","8-20",""
"samaria 16","15/10/2015","24",""
"francisco gourie 55","19/10/2015","08 a 20",""
"salvador cuyas 17","20/10/2015","08 a 18",""
"salvador cuyas sagasta 16","21/10/2015","24",""
"pi margall 7","19/10/2015","08 a 18",""
"arcao 20","19/10/2015","08 a 18",""
"diferentes de la ciudad","15/10/2015","08 a 20",""
"herreria plaza pilar nuevo colon","26/10/2015","24",""
"plaza del pilar nuevo","26/10/2015","8-12",""
"entre av de canarias 42 p.blas cabrera felipe fisico","19/10/2015","8-20",""
"entre avenida maritima edificio perla atlantico paseo blas cabrera felipe","19/10/2015","24",""
"ramblas de la concepcion jinamar","13/10/2015","8-20",""
"mayor de triana  103","22/10/2015","8-18",""
"concha espina  2","16/10/2015","10-18","16/10/2015"
"galo ponte  3","21/10/2015","8-18",""
"plaza de la concordia  1","21/10/2015","8-18",""
"albareda  82","16/10/2015","24",""
"varias calles","16/10/2015","8-20",""
"espiritu santo","17/10/2015","12-14",""
"avenida escaleritas nº 64","19/10/2015","",""
"salamanca   16","21/10/2015","8-20",""
"avda de mesa y lopez 8","21/10/2015","8-18",""
"zona peatonal jesus ferrer jimeno entre puerta  a ceip","19/10/2015","7-15",""
"gordillo  1- -3 -2 del 18 hasta esq. De tauro","22/10/2015","8-20",""
"muelle las palmea c/ triana tramo no peatonal","20/10/2015","22-2,00",""
"padre jose de sosa  25","21/10/2015","8-20",""
"varias calles","19/10/2015","8-20",""
"verdi  1","23/10/2015","8-18",""
"alfredo l. jones 26","24/10/2015","8-20","25/10/2015"
"leon y castillo (entre ruiz de alda y Cirilo moreno)","21/10/2015","24",""
"padre raymond del 1 al 5","28/01/2016","24","29/01/2016"
"nisperos 2 al 12","14/01/2016","8/19","15/01/2016"
"san borondon ( entre gabriel y san rafael)","21/01/2016","8/19","22/01/2016"
"presidente alvear esqu, juan manuel duran","24/10/2015","24",""
"juan manuel duran 14","23/10/2015","24",""
"juan manuel duran gonzalez 17","24/10/2015","8/18",""
"ruiz de alda  zona azul y parte zonz carga y descarga","27/10/2015","24",""
"espiritu santo, 49","21/10/2015","24","17/04/2016"
"espiritu santo, 49","21/10/2015","8-12",""
"Dc. Chil, 26","26/10/2015","8-20","26/10/2015"
"TODAS LAS CARGAS Y DESCARGAS","","",""
"FERNANDO GUANARTEME 32 ZONA DE CARGA Y DESCARGA","23/10/2015","",""
"HOYA DE LA GALLINA 4","26/10/2015","08 A 18",""
"HOYA DE LA GALLINA 4","26/10/2015","24",""
"ALBAREDA 82","25/10/2015","",""
"LEON Y CASTILLO 75","26/10/2015","08 A 18",""
"LUIS DORESTE SILVA  2","24/10/2015","08 A 18",""
"VELARDE A LA ALTURA DE SECRETARIO PADILLA 4-6","23/10/2015","08.30 A 12,30",""
"LUIS DORESTES  SILVA  30-32","25/10/2015","8-20","25/10/2015"
"DOCTOR DOMINGO DENIZ, 3","29/10/2015","8-18",""
"calle mayor de triana, 63 esq. Arena, 1 (o viceversa)","26/10/2015","24",""
"Arena, 1","26/10/2015","9-11",""
"victor hugo 28  carga y descarga","26/10/2015","24 horas","31/10/2015"
"padre pedro sanz 51","24/10/2015","24",""
"losero 1-4 zona carga y descarga 4","25/10/2015","08 a 20",""
"diferentes zonas de la ciudad","23/10/2015","24 horas",""
"dolly 1","26/10/2015","08 a 20",""
"luis antunez 18","26/10/2015","24",""
"manzana-siloe 42 cafarnaum-madian","26/10/2015","24",""
"paseo de las canteras 40","27/10/2015","24",""
"valencia 10","04/11/2015","09 a 13",""
"pluton zona de carga y descarga","24/10/2015","8-20",""
"republica dominicana junto  supermercado","24/10/2015","8-20",""
"pintor pepe damaso 34","24/10/2015","8-20",""
"joaquin blume zona de carga y descarga","24/10/2015","8-20",""
"fernando guanarteme, 5","30/09/2015","",""
"paseo de las canteras, 84","27/10/2015","8-18","28/10/2015"
"fernando guanarteme, 5","","",""
"jose franchy roca, 18","26/10/2015","24",""
"pavia, 35","27/10/2015","24","30/10/2015"
"paseo de las canteras 87","28/10/2015","08 a 18",""
"espiritu santo 25","28/10/2015","24",""
"padre anchieta con tenerife coronel castillo olivares","27/10/2015","08 a 20",""
"padre anchieta 7-9","26/10/2015","08 a 20",""
"leon y castillo junto al metrpole","27/10/2015","",""
"julian romero briones 7","29/10/2015","24",""
"mar fea","30/10/2015","10 a 14",""
"diferentes de la ciudad","26/10/2015","08 a 18",""
"luis doreste silva 18-36","19/10/2015","22 a 06",""
"leon y castillo esq. Murga","27/10/2015","8-20",""
"luis morote, 6","29/10/2015","8-20","29/10/2015"
"HOYA DEL PEDREGAL 53","03/11/2015","",""
"capitan eliseo lopez orduña 14 paseo de chill 167","29/10/2015","08 a 20",""
"domingo  guerra del rio 137","29/10/2015","11 a 15",""
"ataulfa argenta 26","02/11/2015","08 a 18",""
"leon y castillo 327","02/11/2015","08 a 18",""
"el molino de tenoya 81","02/11/2015","08 a 18",""
"casa ayala 74-83","04/11/2015","08 a 20",""
"doctor grau  bassas 29","29/10/2015","08 a 20",""
"el cid 42","29/10/2015","08 a 20",""
"lopez botas 8","05/11/2015","08 a 20",""
"doctor miguel rosas 5","11/11/2015","08 a 20",""
"prudencio morales 31","11/11/2015","08 a 20",""
"arena 14","16/11/2015","08 a 20",""
"reparacion de albañal","05/11/2015","08 a 20",""
"junco 29","05/11/2015","08 a 18",""
"mayor de triana, 68","28/10/2015","8-18","28/10/2015"
"francisco gourie, 67","28/10/2015","8-18","28/10/2015"
"pizqarro con avd. jose mesa y lopez","28/10/2015","24",""
"munguia 12","31/10/2015","8 a 18","31/10/2015"
"29 de abril 42","","",""
"rafael cabrera 26","31/10/2015","24 horas","29/11/2015"
"la naval1-paseo de las canteras","03/11/2015","8 a 16",""
"rafael cabrera 26","31/10/2015","8 a 18","31/10/2015"
"galilea entre 39-49","05/11/2015","8 a 19","06/11/2015"
"franchy roca 74","28/10/2015","08 a 12",""
"juan manuel duran gonzalez 4","31/10/2015","24",""
"paseo de madrid","03/11/2015","","30/11/2015"
"doctor alfonso chiscano diaz entre calle hornos de cal y acceso al hospital de GC","29/10/2015","23 a 03",""
"perojo, 35","29/10/2015","8-18",""
"mayor de triana, 3","29/10/2015","8-18","29/10/2015"
"francisco gourie, 5","29/10/2015","8-18","29/10/2015"
"avda jose mesa y lopez11 con gerl. Vives 1 al 5","29/10/2015","24",""
"avd. Pintor felo monzon, 35","03/11/2015","24","09/11/2015"
"olof palme  44-48","03/11/2015","24",""
"paseo de chil 103 acera","04/11/2015","8 a 18","04/11/2015"
"jose mesa y lopez 48","30/10/2015","8 a 18","30/10/2015"
"hernan perez de grado esquina reyes catolicos","30/10/2015","8 a 18","30/10/2015"
"portugal-kant o viceversa","05/11/2015","24 horas","03/01/2016"
"portugal frente 13 esqu. Con kant","09/11/2015","24","07/01/2016"
"granadera canaria, 20","03/11/2015","24","07/11/2015"
"juan manuel duran gonzalez, 17","31/10/2015","24",""
"gran canaria  6","05/11/2015","8-12",""
"jaime balmes  8","05/11/2015","24","06/11/2015"
"sor simona 33-39 42-45  zaragoza esq zaragoza","05/11/2015","8-20",""
"sro simona  33 al 39","05/11/2015","24",""
"carretra  lomo cuesta ramon p k 0-800","03/11/2015","8-18","04/11/2015"
"lomo custa de ramon 60-a","03/11/2015","8-18","04/11/2015"
"zonas peatonales termino municipal","04/11/2015","n/c",""
"varias calles","03/11/2015","8-20","03/11/2015"
"formosa 6/8 y enfrente s/n","09/11/2015","24",""
"diego vega sarmiento 37","05/11/2015","08 a 20",""
"tenerife esquina con albareda 91","06/11/2015","08 a 12",""
"nicolas monche lopez 4","09/11/2015","",""
"san borondon 45","06/11/2015","24",""
"avda.  Las ramblas de jinamar a la altura del ceip nestor alamo","10/11/2015","08 a 18",""
"diferentes calles de la ciudad","04/11/2015","08 a 18",""
"avda escaleritas  70","03/11/2015","08 a 18",""
"pintor felo monzon","26/10/2015","22 a 06",""
"limpieza de la red","26/10/2015","22 a 06",""
"juan manuel duran 4","07/11/2015","",""
"doctor chil entre doctor veneau y luis millares","07/11/2015","8-20",""
"doctor chil entre 31 y 33","07/11/2015","8-20",""
"escultor tony gallardo entre pintor pepe damaso y gutierrez mellado","05/11/2015","",""
"doctor juan dominguez perez 29","06/11/2015","08  a 20",""
"diferentes de la ciudad","05/11/2015","08 a 18",""
"manuel de falla, (zona de estacionamientofrente al colegio)","09/11/2015","24","11/11/2015"
"paseo de las canteras  a la altura de valarde","06/11/2015","24",""
"paseo de tomas morales 3","07/11/2015","08 a 13",""
"mendizabal 8","09/11/2015","08 a 18",""
"avda. pintor felo monzon a la altura del hipercor","09/11/2015","08 a 18",""
"avda. jose mesa y lopez  15","12/11/2015","08 a 18",""
"avda de mesa y lopez  18","16/11/2015","",""
"mariana de pineda 29","10/11/2015","08 a 12",""
"zonas peatonales","","",""
"diferentes de la ciudad","06/11/2015","08 a 18",""
"taliarte 56","10/11/2015","24horas",""
"galicia 27","09/11/2015","8/20","09/11/2015"
"plaza de cairasco  3","09/11/2015","10-18",""
"carmen quintana 1 11 y frente  nº 11","09/11/2015","24 horas",""
"bolivia 14-16 entre pizarro y daoiz","12/11/2015","8-20","12/11/2015"
"obispo rabadan  33","11/11/2015","24",""
"luis dorestes silva entre interseccion c/ castrillo avdqa juan XXIII","11/11/2015","7,30-13,00","12/11/2015"
"ines chemida  53","11/11/2015","24",""
"varias calles","09/11/2015","8-20",""
"secretario padilla esq. Churruca","11/11/2015","8-20","12/11/2015"
"domingo j .navarro  27","11/11/2015","8-18",""
"pascal 7","13/11/2015","8-18",""
"guantanamo  137","23/11/2015","24","27/11/2015"
"varias calles","10/11/2015","8-20",""
"arias calles","29/10/2015","8-20",""
"pilarillo seco entre mayor de triana y francisco gourie","11/11/2015","8-20",""
"covadonga, 34","12/11/2015","24",""
"carmen quintana, 75","11/11/2015","8-20",""
"NARDO 8","11/11/2015","08 A 18",""
"SANSON CARRASCO","11/11/2015","",""
"DOCTOR JUAN DE PADILLA 16","16/11/2015","08 A 18",""
"VIRGEN DE LORETO 7","16/11/2015","24",""
"RAMBLAS DE LA CONCEPCION","14/11/2015","08 A 18",""
"AVDA. ESCALERITAS  114","13/11/2015","08 A 18",""
"APERTURA DE CALAS","11/11/2015","08 A 18",""
"SAGASTA, 27-29","16/11/2015","24","15/12/2015"
"carlos m. blandy  49","12/11/2015","10-18","12/11/2015"
"FERNANDO GUANARTEME 196/198","17/11/2015","24",""
"DOMINGO J. NAVARRO 30/32","16/11/2015","24","20/11/2015"
"DOMINGO J. NAVARRO 30/32","23/11/2015","24","27/11/2015"
"termino municipal de las palmas","12/11/2015","normal","12/11/2015"
"pio xii 17/21","14/11/2015","8/17","14/11/2015"
"Escultor placido fleitas, 21","13/11/2015","24","15/11/2015"
"profesor lozano 25","16/11/2015","24",""
"termino municipal de las palmas","13/11/2015","24","08/11/2017"
"termino  municipal de las palmas","13/11/2015","24","11/11/2016"
"plaza fray junipero a la altura de bernardo de la torre 1/3","13/11/2015","8/18",""
"la naval 132","16/11/2015","24","21/11/2015"
"sor simona  45","16/11/2015","24","19/11/2015"
"sor simona 42","16/11/2015","24","19/11/2015"
"leon y castillo 23","16/11/2015","24","17/11/2015"
"san pedro remedios","14/11/2015","8/18",""
"jesus de nazareno 37 con mateo apostol","16/11/2015","8/18","21/11/2015"
"manzana 1º andres deniz el raton - botas , avd. alcalde diaz saavedra navarro 2º la pelota","23/11/2015","24",""
"lorenzo godoy maestro de la danza","16/11/2015","8/18",""
"pio xii 17/21","14/11/2015","8/18",""
"nicolaz estevanez 66","16/11/2015","24","20/11/2015"
"termino muicipal de las palmas","13/11/2015","normal",""
"sagasta, 51","16/11/2015","",""
"1º juan manuel duran, 2º diderot","21/11/2015","24 horas",""
"aved. De escaleritas  149","18/11/2015","8/18",""
"manzana leon y castillo 431 jose franchy roca, nicolas estevanez","17/11/2015","24","20/11/2015"
"oceano atlantico","17/11/2015","8/18",""
"termino municipal de las palmas","16/11/2015","normal",""
"paseo de chil,251","17/11/2015","",""
"francisco gourie, 35","17/11/2015","",""
"domingo j. navarro, 18","17/11/2015","8-20",""
"profesor lozano,23","17/11/2015","",""
"cadiz, 38","20/11/2015","",""
"calle mayor de triana esquina san telmo","19/11/2015","06:00/:8:00",""
"victior hugo  8","23/11/2015","24",""
"travieso  10","20/11/2015","8-18",""
"jeronimo falcon  24","23/11/2015","24",""
"varias calles","17/11/2015","8-20",""
"varias calles","18/11/2015","8-18",""
"luis dorestes sila 30-32","22/11/2015","8-20",""
"leon y castillo 379","23/11/2015","8-20",""
"pedro ceron 2","23/11/2015","8-20",""
"cobadonga, 17","19/11/2015","",""
"eduardo benot s/n","23/11/2015","07,30 a 20",""
"paseo de la cornmisa altura club deportivo","23/11/2015","8 a 18",""
"arena 1","23/11/2015","24 horas","13/12/2015"
