ACTIVITAT,NOM_COMERCIAL,EMPLAÇAMENT,ZONA,WEB
APARCAMENT PRIVAT DE VEHICLES,,"C CARRASCO I FORMIGUERA, 118",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C ABAT ESCARRE, 51",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C BAILEN, 12",DA5,
GRANJA-ESCOLA,,URBAT CAN PI DE LA SERRA,DA1,www.canpidelaserra.com
APARCAMENT PRIVAT DE VEHICLES,,"C PLANA DE CAN BERTRAN, 29",DA4,
APARCAMENT PRIVAT DE VEHICLES,,C SANT GAIETA,DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C JUAN RAMON JIMENEZ, 17",DA6,
APARCAMENT PRIVAT DE VEHICLES,,C SERVET,DA3,
APARCAMENT PRIVAT DE VEHICLES,,AV FERRER I DOMINGO,DA1,
FABRICACIÓ DE PECES METÀL·LIQUES,,"C SANT SALVADOR, 11",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA SABADELL, 68",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C NARCIS MENARD, 19",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"AV OLIMPIADES, 19",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT ISIDRE, 1-5",DA4,
DIPÒSIT DE GLP,,"CTRA RUBI A ULLASTRELL, 94-98",PI. SANT GENIS,
ESCOLA TALLER D'AGRICULTURA,,C CACERES,DA5,
VENDA A L'ENGRÒS DE PRODUCTES ALIMENTARIS,,"AV CAN ROSES, 12 NV 16",PI. CAN ROSES,
OFICINES ADMINISTRATIVES,,"C BILBAO, 4",DA5,
ESTACIÓ BASE DE TELEFONIA MÒBIL,,"C GENERAL PRIM, 41",DA4,
ESTACIÓ BASE DE TELEFONIA MÒBIL,,C CAN SERRA,DA2,
DESPATX DE PROCURADOR,,"C MUSICA, 7 PB B",DA3,
VENDA AL DETALL D'ARTICLES DE MERCERIA,,"C MAXIMI FORNES, 11",DA4,
LLIBRERIA-PAPERERIA,,"C PERE ESMENDIA, 21",DA4,
VENDA AL DETALL DE PRODUCTES ALIMENTARIS,,"C ARIBAU, 9-11",DA6,
JUTJATS,,"C ESPOZ I MINA, 4",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C PETANCA, 32-38",DA5,
APARCAMENT PRIVAT DE VEHICLES,,AV ESTATUT,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C CASTELLA, 38-40",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"AV ESTATUT, 91-93 Esc B PB B",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C LLOBATERAS, 22-24",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C PAISOS CATALANS, 17",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C ZAMORA, 5",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C LLEIDA, 35-41",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"PG BULLIDOR, 4",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"PTGE CIUDAD DE MENDOZA, 2-4",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C ANTONI SEDO, 50-58",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C SANTA LLUCIA, 2-4",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C GIRONA, 13",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C CARRASCO I FORMIGUERA, 25",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C GUADALAJARA, 2-4",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C DIAMANT, 33",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C ART, 15",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C ART, 11",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C CALDERON DE LA BARCA, 25",DA6,
TALLER DE REPARACIÓ MECÀNICA,,"PTGE FORTEA, 4",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C CAL GERRER, 8",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C JOAN MARAGALL, 7",DA6,
APARCAMENT PRIVAT DE VEHICLES,,C CIUDAD REAL,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C FONT DEL FERRO, 17",DA5,
FUSTERIA - EBENISTERIA,,"C CA N'ALZAMORA, 4",PI. CA N'ALZAMORA,
PASTISSERIA AMB OBRADOR,,"C ALACANT, 3",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C VIA LACTIA, 14",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C ESTELS, 13",DA6,
VENDA AL DETALL D'EQUIPS D'OFICINA,,"C MAGALLANES, 43",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT GAIETA, 55-59",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C NAVAS DE TOLOSA (LAS), 26",DA5,
APARCAMENT PRIVAT DE VEHICLES,,C MALLORCA,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C MONTURIOL, 9-11",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C GRANADA, 10",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C OSCA, 7-9",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C LLUIS RIBAS, 8",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA SANT CUGAT, 15",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C EDISON, 5",DA3,
APARCAMENT PRIVAT DE VEHICLES,,C CASETES DE CAN FATJO,DA1,
APARCAMENT PRIVAT DE VEHICLES,,C POESIA,DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C BARTRINA, 29-31",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"PG BULLIDOR, 7",DA5,
MAGATZEM D'ACCESSORIS PER A PISCINES,,"AV CAN SUCARRATS, 108-110",PI. COVA SOLERA,
APARCAMENT PRIVAT DE VEHICLES,,"C ANTONI SEDO, 18-20",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C MARIA AURELIA CAPMANY, 16-22",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA TERRASSA, 28-30",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C MADRID, 73-75",DA5,
APARCAMENT PRIVAT DE VEHICLES,,CTRA SABADELL,DA5,
MAGATZEM I VENDA DE MOBLES D'OFICINA,,"CTRA MOLINS DE REI, 60",PI. LA BASTIDA,
FABRICACIÓ DE PRODUCTES CÀRNICS,,URBAT CAN PI DE LA SERRA,DA2,
ÒPTICA,,"C PERE ESMENDIA, 10",DA4,
MAGATZEM DE MATERIALS PER A LA CONSTRUCCIÓ,,C BAILEN,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C RIERA, 6",DA4,
VERIFICACIÓ I MANIPULACIÓ DE PECES METÀL·LIQUES,,"C PROGRES, 27",PI. CA N'ALZAMORA,
APARCAMENT PRIVAT DE VEHICLES,,"C CASTELLO, 6-8",DA5,
DIPÒSIT DE GLP,,"C CADAQUES, 9",DA2,
APARCAMENT PRIVAT DE VEHICLES,,AV FERRER I DOMINGO,DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C SABADELL, 75",DA5,
FUSTERIA METÀL·LICA,,"CTRA SABADELL, 247 NV 35C",PI. LA BASTIDA,
APARCAMENT PRIVAT DE VEHICLES,,AV ESTATUT,DA5,
APARCAMENT PRIVAT DE VEHICLES,,C TRAFALGAR,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C MALLORCA, 57",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C TORRENT DE L'ALBA, 12",DA6,
DIPÒSIT DE GLP,,"C FORTUNA, 6",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C JOAN FIVELLER, 28",DA6,
APARCAMENT PRIVAT DE VEHICLES,,AV ESTATUT,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C GARCIA LORCA, 24",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C PASTORA (LA), 44-48",DA5,
COPISTERIA,,"C SORIA, 43 Esc 1 PB 01",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C ANTONI SEDO, 48",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"PG TORRES, 51",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"PTGE SANT GAIETA, 20",DA5,
APARCAMENT PRIVAT DE VEHICLES,,C EDISON,DA6,
CENTRE COMERCIAL,,"AV CASTELLNOU, 147",DA2,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT IGNASI, 15",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA SABADELL, 86",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA SABADELL, 69-71",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C BLASCO DE GARAY, 17",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C QUEVEDO, 2-4",DA6,
APARCAMENT PRIVAT DE VEHICLES,,C BASSES,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C OR, 37",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"PG PAU CLARIS, 27 Esc 1 ST 01",DA4,
TRACTAMENT I RECOBRIMENT DE METALLS,,"C PARELLADA, 10 PB 01",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA SANT CUGAT, 17-19",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C SAFIR, 11",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT MAGI, 13",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"PG TORRES, 26-28",DA3,
CONSULTORI MÈDIC,,"C PERE ESMENDIA, 25",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C EDISON, 65-67",DA6,
APARCAMENT PRIVAT DE VEHICLES,,AV CASTELLBISBAL,DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C MUSICA, 5",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C MENDEZ NUÑEZ, 12-14",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"AV COMAS I SOLA, 17-19",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT SEBASTIA, 43",DA4,
APARCAMENT PRIVAT DE VEHICLES,,AV FERRER I DOMINGO,DA1,
MAGATZEM DE PVC I CARTRÓ,,C SCHUMANN,PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C CICLISME, 44",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT MIQUEL, 31",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C BARTRINA, 22-24 01 02",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C CREU, 4",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SANTA LLUCIA, 24",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT GAIETA, 84 ST",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C MARGARIDA XIRGU, 6",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C MADRID, 23",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C MARE DE DEU DE FATIMA, 8",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C JUAN RAMON JIMENEZ, 19",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C LEPANT, 47",DA5,
APARCAMENT PRIVAT DE VEHICLES,,C GUADALAJARA,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C GARCIA LORCA, 24",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SAFIR, 10",DA1,
APARCAMENT PRIVAT DE VEHICLES,,AV MASSANA,DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C LLUIS RIBAS, 1",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C VICTOR BALAGUER, 37",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"AV COMAS I SOLA, 20",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C LLOBREGAT, 17",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C EBRE, 14",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"PG FRANCESC MACIA, 46",DA4,
TALLER DE PLANXISTERIA INDUSTRIAL,,"C BACH, 11 NV 01",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C SAFIR, 14",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C PLANA DE CAN BERTRAN, 35",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C LLOBATERAS, 92",DA6,
FABRICACIÓ DE CONSERVES DE FRUITES,,"C ROSSINYOL, 2",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA SABADELL, 27",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C MILA I FONTANALS, 34",DA6,
FABRICACIÓ DE MOBLES DE FUSTA,,"PTGE BACH, 10",PI. CAN JARDI,
FORN DE PA AMB OBRADOR,,"C STRAUSS, 6",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C APEL.LES MESTRES, 8-12",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C ALBACETE, 1",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C VICTOR BALAGUER, 2",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C GUADALAJARA, 16-18",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C ASTROLABI, 11",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C XALOC, 34-36",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"PG FERROCARRIL, 3",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C MONTURIOL, 18",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C BLASCO DE GARAY, 26-36",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C BLASCO DE GARAY, 25",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C PINTOR FORTUNY, 17",DA6,
ELABORACIÓ DE MENJARS PREPARATS,,"C VIVALDI, 13-15",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C AVILA, 14-16",DA5,
DIPÒSIT DE GLP,,"C SERRA DEL MONTSEC, 10",DA2,
APARCAMENT PRIVAT DE VEHICLES,,"C BAILEN, 8",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C JOAN MARAGALL, 49",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C VIA LACTIA, 1",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"PTGE DOCTOR FERRAN, 3-5",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C CASTELLO, 20",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C VIA LACTIA, 14",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C PALENCIA, 39 ST 01",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"PG TORRES, 92-94",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C BARCELONA, 66",DA5,
APARCAMENT PRIVAT DE VEHICLES,,AV ESTATUT,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT GAIETA, 95",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C CASTELLO, 6-8",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C MURCIA, 49",DA5,
APARCAMENT PRIVAT DE VEHICLES,,AV ESTATUT,DA6,
FABRICACIÓ DE PECES METÀL·LIQUES,,"C BADAJOZ, 13",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C BERGUEDA, 15",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C ARIBAU, 13",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C GENERAL PRIM, 50",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA TERRASSA, 64-66",DA5,
CENTRE COMERCIAL,,"C MAXIMI FORNES, 64-66 LOC 02",DA4,
AUTOESCOLA,,"C PERE ESMENDIA, 29",DA4,
APARCAMENT PRIVAT DE VEHICLES,,C CASTELLO,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT JOAN, 12",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SANTA LLUCIA, 9-11",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C OR, 18",DA1,
APARCAMENT PRIVAT DE VEHICLES,,C CASP,DA5,
APARCAMENT PRIVAT DE VEHICLES,,PG TORRES,DA3,
SERVEIS DE FONTANERIA,,"AV ESTATUT, 229-231 Esc 1 LOC 03",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C PRIMER DE MAIG, 27",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA TERRASSA, 16-18",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C CALDERON DE LA BARCA, 6",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C PAU ROCA, 18",DA2,
APARCAMENT PRIVAT DE VEHICLES,,C HANDBOL,PI. CAN ROSES,
FUSTERIA METÀL·LICA,,"CTRA SABADELL, 97",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C TRAFALGAR, 12",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C TERRASSA, 11",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C VICTOR BALAGUER, 23-25",DA6,
BAR,,"AV CASTELLBISBAL, 2",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C FRANCESC ALBRICIAS, 10-12",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"AV ESTATUT, 91-93",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C MIQUEL SEGURA, 1",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C CA N'ORIOL, 9-11",DA6,
VENDA A L'ENGRÒS DE MATERIAL PUBLICITARI,,"PG PAU CLARIS, 56 02 02",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C MARE DE DEU DE LOURDES, 34",DA5,
RENTAT DE VEHICLES,,"AV COVA SOLERA, 11",PI. COVA SOLERA,
APARCAMENT PRIVAT DE VEHICLES,,"C SAFIR, 9",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C ESCORIAL (EL), 14",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C DIAMANT, 40",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"AV ESTATUT, 174",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"PG RIERA, 113 PK",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C ANGEL GUIMERA, 24-26",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C CASTELL, 7-11",DA2,
APARCAMENT PRIVAT DE VEHICLES,,"PG BULLIDOR, 16",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C FONT DE LA VIA, 17",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"PTGE SANTA FE, 3",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C GUADALAJARA, 24",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT GAIETA, 30-32",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA MOLINS DE REI, 39-41",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"PTGE CIUDAD DE MENDOZA, 1 PB 01",DA3,
APARCAMENT PRIVAT DE VEHICLES,,AV ESTATUT,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"AV ESTATUT, 211",DA5,
APARCAMENT PRIVAT DE VEHICLES,,C BARCELONA,DA5,
CENTRE DE IOGA,,"PG FERROCARRIL, 1",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C UNIO, 13-17",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C DURAN I BAS, 28",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C VALLADOLID, 44-46",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"PTGE BAILEN, 3",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C CAL GERRER, 4",DA6,
APARCAMENT PRIVAT DE VEHICLES,,AV ESTATUT,DA5,
FABRICACIÓ DE PRODUCTES DE MATÈRIES PLÀSTIQUES,,"PTGE CARULLI, 5",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C CACERES, 2-4",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C GENERAL PRIM, 5",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C ORENSE, 12-14",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"PTGE LLOBATERAS, 12",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C PONTEVEDRA, 32",DA5,
FUSTERIA,,"CTRA SABADELL, 247",PI. LA BASTIDA,
APARCAMENT PRIVAT DE VEHICLES,,"PG RIERA, 1-5",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C FLORIDABLANCA, 1-3",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C PRAT DE LA RIBA, 20",DA4,
ACABATS TÈXTILS,,"AV CAN ROSES, 45 PB 03",PI. CAN ROSES,
APARCAMENT PRIVAT DE VEHICLES,,"C SEVILLA, 18",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"CAMI CA N'ORIOL, 9-11",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C TORRENT DE L'ALBA, 8 LOC 01",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C ALACANT, 26",DA5,
PERRUQUERIA,,"C MARE DE DEU DEL PILAR, 28",DA4,
DIPÒSIT DE GLP,,"C JOVENTUT, 29",DA1,
DIPÒSIT DE GLP,,"C ALCANO, 9",DA2,
FABRICACIÓ DE MOBLES DE FUSTA DE CUINA I BANY,,"C SAGUNT, 28",DA5,
DIPÒSIT DE GLP,,"LLOC AUTOPISTA, Km 14 ÁREA SERVICIO RUBÍ(N-S)",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT GAIETA, 17",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C BELCHITE, 11-13",DA5,
APARCAMENT PRIVAT DE VEHICLES,,AV FERRER I DOMINGO,DA1,
DIPÒSIT DE GLP,,"PTGE XIPRERS, 3",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C JOSEP TURU, 4-8",DA1,
ESTACIÓ BASE DE RADIOFUSIÓ,,. AFORES,DA2,
TALLER D'ARTS GRÀFIQUES,,"C ROSSINYOL, 16",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C PALENCIA, 36",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C BARCELONA, 12-14",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"PG FRANCESC MACIA, 65-67",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SORIA, 4",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"PTGE LLOBATERAS, 4 PB 04",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"AV BARCELONA, 19-21",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C MARE DE DEU DE FATIMA, 6",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C CAL PRINCEP, 45-47",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SAGUNT, 57",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C SAGUNT, 54",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C MAXIMI FORNES, 64-66 LOC 02",DA4,
APARCAMENT PRIVAT DE VEHICLES,,PG TORRES,DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C EBRE, 1",DA6,
DIPÒSIT DE GLP,,"C ABRERA, 18",DA2,
APARCAMENT PRIVAT DE VEHICLES,,"C SABADELL, 37-39",DA5,
APARCAMENT PRIVAT DE VEHICLES,,C MARGARIDA XIRGU,DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SEVILLA, 32",DA5,
CENTRE DE FORMACIÓ D'INFORMÀTICA,,"C LLOBATERAS, 18",DA4,
APARCAMENT PRIVAT DE VEHICLES,,AV ESTATUT,DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C FRANCESC ROVIRA, 10-12",DA1,
AUTOESCOLA,,"PG PAU CLARIS, 14",DA4,
TALLER DE SERRALLERIA,,"CTRA MOLINS DE REI, 60",PI. LA BASTIDA,
APARCAMENT PRIVAT DE VEHICLES,,"C POESIA, 2",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"PTGE SERVET, 7",DA3,
APARCAMENT PRIVAT DE VEHICLES,,"C FRANCESC ROVIRA, 6",DA1,
APARCAMENT PRIVAT DE VEHICLES,,AV FERRER I DOMINGO,DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C COVADONGA, 60",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C MAGALLANES, 56",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C GARCIA LORCA, 37",DA6,
FUSTERIA METÀL·LICA,,"C LLACUNA, 25-27",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"AV OLIMPIADES, 37",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C FONT DEL FERRO, 57-59",DA5,
MAGATZEM MATERIALS FERRETERIA,,"C PINTOR COELLO, 37 PB 01",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SAGUNT, 48",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"PTGE TOPAZI, 8",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT JORDI, 21",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C LEPANT, 1",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C CASTELLA, 16-20",DA5,
APARCAMENT PRIVAT DE VEHICLES,,C BASSES,DA5,
APARCAMENT PÚBLIC DE VEHICLES,,"C LOPE DE VEGA, 25",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA SANT CUGAT, 10",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"AV ESTATUT, 17",DA6,
MAGATZEM DE MATERIAL ELÈCTRIC,,"AV CAN SUCARRATS, 84 NV 13",PI. COVA SOLERA,
APARCAMENT PRIVAT DE VEHICLES,,"C EBRE, 7",DA6,
DIPÒSIT DE GLP,,"C GUATLLA, 16-20",DA1,
DIPÒSIT DE GLP,,"C ABRERA, 6",DA2,
APARCAMENT PRIVAT DE VEHICLES,,"C PLATA, 29",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C CAVITE, 20-22",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"AV ESTATUT, 119",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C PLATA, 12",DA1,
APARCAMENT PRIVAT DE VEHICLES,,C JOAN PUIG,DA3,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA TERRASSA, 26",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C GRANADA, 6",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C VALLADOLID, 36-38",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C BARTRINA, 5-7",DA6,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT GAIETA, 94-96",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C MILA I FONTANALS, 14",DA6,
PERRUQUERIA,,"C NUMANCIA, 1 01",DA5,
DIPÒSIT DE GLP,,"C WAGNER, 8",PI. CAN JARDI,
APARCAMENT PRIVAT DE VEHICLES,,"C TOPAZI, 2",DA1,
APARCAMENT PRIVAT DE VEHICLES,,"C SANT JORDI, 34",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C MURCIA, 57",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C TERRASSA, 52",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C SABADELL, 41 AT 01",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"CTRA MOLINS DE REI, 60",PI. LA BASTIDA,
COMPLEX ESPORTIU,,"C TORRIJOS, 10",DA4,
APARCAMENT PRIVAT DE VEHICLES,,"C BAILEN, 11",DA5,
APARCAMENT PRIVAT DE VEHICLES,,"C ABAT ESCARRE, 23",DA6,
